biochemical.chemicalFormula	biochemical.clearance	biochemical.halfLife	biochemical.molecularWeight	biochemical.smiles	biochemical.state	biochemical.volumeOfDistribution	enzymes.PIds	enzymes.genes	enzymes.names	externalLinks	externalLinks.BindingDB	externalLinks.ChEBI	externalLinks.ChEMBL	externalLinks.ChemSpider	externalLinks.Drugs.com	externalLinks.Guide to Pharmacology	externalLinks.Human Metabolome Database	externalLinks.KEGG Compound	externalLinks.KEGG Drug	externalLinks.PDBe Ligand	externalLinks.PDRhealth	externalLinks.PharmGKB	externalLinks.PubChem Compound	externalLinks.PubChem Substance	externalLinks.RxList	externalLinks.RxNav	externalLinks.Therapeutic Targets Database	externalLinks.Wikipedia	externalLinks.ZINC	general.brandNames	general.genericName	general.groups	general.id	general.inChI	general.inChIKey	general.maxPhase	general.summary	general.toxicity	general.type	pathways.links	pathways.names	propertiesAdmet	propertiesAdmet.Ames test	propertiesAdmet.Biodegradation	propertiesAdmet.Blood Brain Barrier	propertiesAdmet.CYP450 1A2 substrate	propertiesAdmet.CYP450 2C19 inhibitor	propertiesAdmet.CYP450 2C9 inhibitor	propertiesAdmet.CYP450 2C9 substrate	propertiesAdmet.CYP450 2D6 inhibitor	propertiesAdmet.CYP450 2D6 substrate	propertiesAdmet.CYP450 3A4 inhibitor	propertiesAdmet.CYP450 3A4 substrate	propertiesAdmet.CYP450 inhibitory promiscuity	propertiesAdmet.Caco-2 permeable	propertiesAdmet.Carcinogenicity	propertiesAdmet.Human Intestinal Absorption	propertiesAdmet.P-glycoprotein inhibitor I	propertiesAdmet.P-glycoprotein inhibitor II	propertiesAdmet.P-glycoprotein substrate	propertiesAdmet.Rat acute toxicity	propertiesAdmet.Renal organic cation transporter	propertiesAdmet.hERG inhibition (predictor I)	propertiesAdmet.hERG inhibition (predictor II)	propertiesExperimental	propertiesExperimental.Caco2 permeability	propertiesExperimental.Radioactivity (mCi/mL)	propertiesExperimental.boiling point (°C)	propertiesExperimental.logP	propertiesExperimental.logS	propertiesExperimental.melting point (°C)	propertiesExperimental.pKa	propertiesExperimental.water solubility	propertiesPredicted.Bioavailability	propertiesPredicted.Ghose Filter	propertiesPredicted.Hydrogen Acceptor Count	propertiesPredicted.Hydrogen Donor Count	propertiesPredicted.MDDR-like Rule	propertiesPredicted.Number of Rings	propertiesPredicted.Physiological Charge	propertiesPredicted.Polar Surface Area	propertiesPredicted.Polarizability	propertiesPredicted.Refractivity	propertiesPredicted.Rotatable Bond Count	propertiesPredicted.Rule of Five	propertiesPredicted.Veber's Rule	propertiesPredicted.Water Solubility	propertiesPredicted.logP	propertiesPredicted.logS	propertiesPredicted.pKa (Strongest Acidic)	propertiesPredicted.pKa (Strongest Basic)	targets.PIds	targets.genes	targets.names
C27H46O2	Not Available	Not Available	402.6529	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)(C)O	Solid	Not Available					20182	42977	CHEMBL169046	58604				C15519		HC3			65094	46506794					ZINC000005751264		25-Hydroxycholesterol	Experimental	DB04705	InChI=1S/C27H46O2/c1-18(7-6-14-25(2,3)29)22-10-11-23-21-9-8-19-17-20(28)12-15-26(19,4)24(21)13-16-27(22,23)5/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3/t18-,20+,21+,22-,23+,24+,26+,27-/m1/s1	INBGSXNNRGWLJU-ZHHJOTBYSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Non-inhibitor	Inhibitor	Substrate	3.0155 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	2	2	No	4	0	40.46 Å2	51.11 Å3	122.45 m3·mol-1	5	No	No	0.000244 mg/mL	5.64	-6.2	18.2	-1			
C27H46O2	Not Available	Not Available	402.6529	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	Solid	Not Available					50045545	42989	CHEMBL497834	415508			HMDB0006119			HCR			473141	46505045					ZINC000005758832		7beta-hydroxycholesterol	Experimental	DB04706	InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-25,28-29H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,24+,25+,26+,27-/m1/s1	OYXZMSRRJOYLLO-KGZHIOMZSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Non-inhibitor	Inhibitor	Substrate	3.0155 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	2	2	No	4	0	40.46 Å2	51.12 Å3	122.06 m3·mol-1	5	No	No	0.000476 mg/mL	5.96	-5.9	18.2	-0.83			
C32H44N2O9	Not Available	Not Available	600.6998	[H][C@@]1([C@H](C)C(=O)NC)N([C@@H]2CC[C@H](O)[C@H](C)O2)C(=O)\C(=C(\O)/C=C/C(/C)=C/[C@@H](C)[C@@]2([H])O[C@@]3(C)O[C@H](C=C[C@@]33CO3)[C@@H]2C)C1=O	Solid	Not Available						45773	CHEMBL1236068	21270076						STD			54708748	46505558				Streptolydigin	ZINC000169363256		Streptolydigin	Experimental	DB04785	InChI=1S/C32H44N2O9/c1-16(14-17(2)28-18(3)23-12-13-32(15-40-32)31(6,42-23)43-28)8-9-22(36)25-27(37)26(19(4)29(38)33-7)34(30(25)39)24-11-10-21(35)20(5)41-24/h8-9,12-14,17-21,23-24,26,28,35-36H,10-11,15H2,1-7H3,(H,33,38)/b9-8+,16-14+,25-22+/t17-,18+,19+,20+,21+,23-,24+,26+,28-,31-,32-/m1/s1	KVTPRMVXYZKLIG-NCAOFHFGSA-N			Not Available	Small Molecule				AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	2.8753 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	9	3	Yes	5	-1	147.16 Å2	63.96 Å3	160.29 m3·mol-1	7	No	No	0.0386 mg/mL	2.09	-4.2	5.29	-0.48			
C26H40O3	Not Available	Not Available	400.603	[H][C@@]1(CC[C@]2([H])\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)CC#CC(C)(C)O	Solid	Not Available							CHEMBL2105107	5291648						TX5			6915835	46504586					ZINC000012504514		Inecalcitol	Investigational	DB04796	InChI=1S/C26H40O3/c1-18(7-5-13-25(2,3)29)23-11-12-24-20(8-6-14-26(23,24)4)10-9-19-15-21(27)17-22(28)16-19/h9-10,18,21-24,27-29H,6-8,11-12,14-17H2,1-4H3/b20-10+/t18-,21-,22-,23-,24-,26-/m1/s1	HHGRMHMXKPQNGF-WNSNRMDMSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	High CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	4.7066 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	Yes	3	3	No	3	0	60.69 Å2	48.7 Å3	121.57 m3·mol-1	5	Yes	No	0.00221 mg/mL	4	-5.3	14.67	-2.7	P11473	VDR	1. Vitamin D3 receptor
C37H61N2O4	Not Available	141 minutes (mean)	597.904	[H][C@@]12C[C@@H]([C@H](OC(=O)CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(CC=C)CCCCC1	Solid	Not Available						135845	CHEMBL1201352	4470890								PA451227	5311399	46506932	RxList Drug Page	262100		Rapacuronium	ZINC000003943562		Rapacuronium	Approved, Withdrawn	DB04834	InChI=1S/C37H61N2O4/c1-6-20-39(21-12-9-13-22-39)32-24-30-28-15-14-27-23-33(42-26(3)40)31(38-18-10-8-11-19-38)25-37(27,5)29(28)16-17-36(30,4)35(32)43-34(41)7-2/h6,27-33,35H,1,7-25H2,2-5H3/q+1/t27-,28+,29-,30-,31-,32-,33-,35-,36-,37-/m0/s1	HTIKWNNIPGXLGM-YLINKJIISA-N		Rapacuronium is a nondepolarizing neuromuscular blocking agent used as an adjunct to general anesthesia to facilitate tracheal intubation, and to provide skeletal muscle relaxation during surgical procedures.	Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	-	Inhibitor	Inhibitor	Substrate	2.6637 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	3	0	Yes	6	2	55.84 Å2	72.25 Å3	183.1 m3·mol-1	9	No	No	4.64e-06 mg/mL	2.32	-8.1		9.65	P08172	CHRM2	1. Muscarinic acetylcholine receptor M2
C24H29ClO4	Not Available	Elimination Following oral or intramuscular administration, the plasma half-life is 38 and 96 hours, respectively.	416.938	[H][C@@]12C[C@]1([H])[C@@]1(C)C(=CC2=O)C(Cl)=C[C@@]2([H])[C@]3([H])CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@]12[H]	Solid	Not Available	P08684;!P11511	CYP3A4;!CYP19A1	1. Cytochrome P450 3A4;!2. Cytochrome P450 19A1		50094569	50743	CHEMBL139835	9496					D01368	CA4		PA10049	9880	46506931		22054	DAP000906	Cyproterone_acetate	ZINC000003814423	Androcur, Cléo -35, Cyestra-35, Diane	Cyproterone acetate	Approved, Investigational	DB04839	InChI=1S/C24H29ClO4/c1-12(26)24(29-13(2)27)8-6-16-14-10-20(25)19-11-21(28)15-9-18(15)23(19,4)17(14)5-7-22(16,24)3/h10-11,14-18H,5-9H2,1-4H3/t14-,15+,16-,17-,18-,22-,23-,24-/m0/s1	UWFYSQMTEOIJJG-FDTZYFLXSA-N	4	Cyproterone acetate is a steroid used in combination with ethinyl estradiol to treat women with severe acne and symptoms of androgenization. Also used alone at much higher doses for palliative treatment of patients with prostate cancer	Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	1.8261 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor							200-201			1	Yes	3	0	No	5	0	60.44 Å2	44.64 Å3	111.81 m3·mol-1	3	Yes	No	0.00152 mg/mL	3.64	-5.4	17.83	-5.6	P10275;!P07288	AR;!KLK3	1. Androgen receptor;!2. Prostate-specific antigen
C27H42N2O5S	Not Available	52 hours	506.7	[H][C@]12C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC[C@@]1(C)O2)C(\C)=C\C1=CSC(C)=N1	Solid	Not Available	P08684	CYP3A4	1. Cytochrome P450 3A4			63605	CHEMBL1201752	20145579					D04645	GZX		PA165958343	6445540	99443224		337523		Ixabepilone	ZINC000003993846	Ixempra	Ixabepilone	Approved, Investigational	DB04845	InChI=1S/C27H42N2O5S/c1-15-9-8-10-27(7)22(34-27)12-20(16(2)11-19-14-35-18(4)28-19)29-23(31)13-21(30)26(5,6)25(33)17(3)24(15)32/h11,14-15,17,20-22,24,30,32H,8-10,12-13H2,1-7H3,(H,29,31)/b16-11+/t15-,17+,20-,21-,22-,24-,27+/m0/s1	FABUFPQFXZVHFB-PVYNADRNSA-N	3	Ixabepilone is a microtubule inhibitor administered in combination with capecitabine or alone in the treatment of metastatic or locally advanced breast cancer that has shown inadequate response to taxanes and anthracyclines.	Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	2.6638 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	6	3	No	3	0	112.05 Å2	56.86 Å3	136.71 m3·mol-1	2	No	No	0.00352 mg/mL	3.39	-5.2	13.85	2.73	Q13509	TUBB3	1. Tubulin beta-3 chain
C29H39NO9	Clearance for homoharringtonine was not quantified.	Homoharringtonine has a half life of about 6 hours after subcutaneous administration.	545.6213	[H][C@@]1(OC(=O)[C@@](O)(CCCC(C)(C)O)CC(=O)OC)C(OC)=C[C@]23CCCN2CCC2=CC4=C(OCO4)C=C2[C@]13[H]	Solid	Homoharringtonine has a steady state Vd of 141 ± 93.4 L.						71019	CHEMBL46286	251215	Drugs.com Drug Page				D08956	HMT			285033	175426874	RxList Drug Page	27100		Omacetaxine_mepesuccinate	ZINC000026011099	Synribo	Omacetaxine mepesuccinate	Approved, Investigational	DB04865	InChI=1S/C29H39NO9/c1-27(2,33)8-5-10-29(34,16-23(31)36-4)26(32)39-25-22(35-3)15-28-9-6-11-30(28)12-7-18-13-20-21(38-17-37-20)14-19(18)24(25)28/h13-15,24-25,33-34H,5-12,16-17H2,1-4H3/t24-,25-,28+,29-/m1/s1	HYFHYPWGAURHIV-JFIAXGOJSA-N	2	Omacetaxine mepesuccinate is a cephalotaxine used in the treatment of Chronic Myeloid Leukemia (CML) that is intolerant to or resistant to two or more tyrosine kinase inhibitors.	The most severe adverse effects after homoharringtonine administration are myelosuppression, bleeding, hyperglycemia, and fetal harm.	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	3.1592 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										0	No	8	2	Yes	5	1	123.99 Å2	57.62 Å3	142.07 m3·mol-1	11	No	No	0.108 mg/mL	1.88	-3.7	12.09	9.42	P20276;!P39023	rpl2;!RPL3	1. 50S ribosomal protein L2;!2. 60S ribosomal protein L3
C33H52O4	Not Available	Not Available	512.775	[H][C@]12C[C@@]3([H])[C@]4([H])CC=C5C[C@H](CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@H](C)CO1)O2)OC(=O)CCCCC	Solid	Not Available								17460070									16394575	347827721					ZINC000097971833		Caprospinol	Investigational	DB05263	InChI=1S/C33H52O4/c1-6-7-8-9-29(34)36-24-13-15-31(4)23(18-24)10-11-25-26(31)14-16-32(5)27(25)19-28-30(32)22(3)33(37-28)17-12-21(2)20-35-33/h10,21-22,24-28,30H,6-9,11-20H2,1-5H3/t21-,22+,24+,25-,26+,27+,28+,30+,31+,32+,33-/m1/s1	VMOZFSWFUBLCNN-AAPULDEBSA-N			Not Available	Small Molecule																																			0	No	3	0	Yes	6	0	44.76 Å2	64.08 Å3	147.85 m3·mol-1	6	No	No	1.55e-05 mg/mL	7.4	-7.5		-4			
C30H50O5	Not Available	Not Available	490.725	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)[C@@H](OCCCO)[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O	Solid	Not Available						73927		5293354						ED9			6918141	175426970				Eldecalcitol	ZINC000003934328		Eldecalcitol	Investigational	DB05295	InChI=1S/C30H50O5/c1-20(9-6-15-29(3,4)34)24-13-14-25-22(10-7-16-30(24,25)5)11-12-23-19-26(32)28(27(33)21(23)2)35-18-8-17-31/h11-12,20,24-28,31-34H,2,6-10,13-19H2,1,3-5H3/b22-11+,23-12-/t20-,24-,25+,26-,27-,28-,30-/m1/s1	FZEXGDDBXLBRTD-AYIMTCTASA-N	3		Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Inhibitor	Substrate	3.3673 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	5	4	Yes	3	0	90.15 Å2	59.7 Å3	143.54 m3·mol-1	10	Yes	No	0.0105 mg/mL	3.67	-4.7	13.38	-1.3	P11473	VDR	1. Vitamin D3 receptor
C24H30Cl2O6	Not Available	Not Available	485.4	[H][C@@]12CC[C@](OC(=O)C(Cl)Cl)(C(=O)OCC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	Solid	Not Available						135783	CHEMBL2107614	8110701									9935073	175427004					ZINC000003979944		Etiprednol dicloacetate	Investigational	DB05442	InChI=1S/C24H30Cl2O6/c1-4-31-21(30)24(32-20(29)19(25)26)10-8-16-15-6-5-13-11-14(27)7-9-22(13,2)18(15)17(28)12-23(16,24)3/h7,9,11,15-19,28H,4-6,8,10,12H2,1-3H3/t15-,16-,17-,18+,22-,23-,24-/m0/s1	QAIOVDNCIZSSSF-RFAJLIJZSA-N	2		Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	1.9813 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	4	1	Yes	4	0	89.9 Å2	49.4 Å3	121.88 m3·mol-1	6	Yes	No	0.00235 mg/mL	3.99	-5.3	14.88	-2.9	P01584	IL1B	1. Interleukin-1 beta
C27H44O3	Not Available	Not Available	416.6365	[H][C@]12C[C@@]3([H])[C@]4([H])CC[C@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@H](C)CO1)O2	Solid	Not Available						28933		82568			HMDB0030048	C08913						347910146					ZINC000008234226		Smilagenin	Investigational	DB05450	InChI=1S/C27H44O3/c1-16-7-12-27(29-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(28)8-10-25(18,3)21(20)9-11-26(22,24)4/h16-24,28H,5-15H2,1-4H3/t16-,17+,18-,19+,20-,21+,22+,23+,24+,25+,26+,27-/m1/s1	GMBQZIIUCVWOCD-UQHLGXRBSA-N	2		Trials showed that the drug has a good clinical safety profile and is well-tolerated.	Small Molecule																																			1	No	3	1	No	6	0	38.69 Å2	51.43 Å3	119.42 m3·mol-1	0	No	Yes	3.28e-05 mg/mL	5.33	-7.1	18.3	-1.4			
C21H34F2O5	Not Available	Not Available	404.495	CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(O)=O)O1	Solid	Not Available							CHEMBL2103799	28529307																	Cobiprostone	Investigational	DB05514	InChI=1S/C21H34F2O5/c1-3-14(2)13-20(22,23)21(27)11-10-16-15(17(24)12-18(16)28-21)8-6-4-5-7-9-19(25)26/h14-16,18,27H,3-13H2,1-2H3,(H,25,26)/t14-,15+,16+,18+,21+/m0/s1	SDDSJMXGJNWMJY-BRHAQHMBSA-N	2		Not Available	Small Molecule																																			1	Yes	5	2	No	2	-1	83.83 Å2	44.14 Å3	100.15 m3·mol-1	11	Yes	No	0.0158 mg/mL	4.85	-4.4	4.3	-4.4	P51788	CLCN2	1. Chloride channel protein 2
C19H28O2	Not Available	Not Available	288.431	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3C[C@@H](C)[C@@]21[H]	Solid	Not Available								8014619									19582	175427041				Trestolone	ZINC000004217690		Trestolone	Investigational	DB05830	InChI=1S/C19H28O2/c1-11-9-12-10-13(20)3-4-14(12)15-7-8-19(2)16(18(11)15)5-6-17(19)21/h10-11,14-18,21H,3-9H2,1-2H3/t11-,14+,15-,16+,17+,18-,19+/m1/s1	YSGQGNQWBLYHPE-CFUSNLFHSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	1.6259 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	Yes	2	1	No	4	0	37.3 Å2	33.92 Å3	84.5 m3·mol-1	0	Yes	Yes	0.0391 mg/mL	3.35	-3.9	18.34	-0.88			
C22H36N2O6	Not Available	Not Available	424.531	[H][C@@]1([C@H](OC)[C@@H](CC[C@]11CO1)OC(=O)N[C@H](C(C)C)C(N)=O)[C@@]1(C)O[C@@H]1CC=C(C)C	Solid	Not Available					50088527		CHEMBL3527358	5293846									6918653	175427046							PPI-2458	Investigational	DB05864	InChI=1S/C22H36N2O6/c1-12(2)7-8-15-21(5,30-15)18-17(27-6)14(9-10-22(18)11-28-22)29-20(26)24-16(13(3)4)19(23)25/h7,13-18H,8-11H2,1-6H3,(H2,23,25)(H,24,26)/t14-,15-,16-,17-,18-,21+,22+/m1/s1	QBDVVYNLLXGUGN-XGTBZJOHSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	2.7785 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	Yes	5	2	Yes	3	0	115.71 Å2	46.27 Å3	110.43 m3·mol-1	9	Yes	No	0.0439 mg/mL	2.07	-4	13.45	-3.6	P50579	METAP2	1. Methionine aminopeptidase 2
C27H39NO5S	Not Available	Not Available	489.67	C[C@H]1\C=C\C\C(C)=C/C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\C1=CSC(C)=N1	Solid	Not Available	P08684	CYP3A4	1. Cytochrome P450 3A4					5294026									6918835	347827748					ZINC000100657972		KOS-1584	Investigational	DB05903	InChI=1S/C27H39NO5S/c1-16-9-8-10-17(2)25(31)19(4)26(32)27(6,7)23(29)14-24(30)33-22(12-11-16)18(3)13-21-15-34-20(5)28-21/h8,10-11,13,15,17,19,22-23,25,29,31H,9,12,14H2,1-7H3/b10-8+,16-11-,18-13+/t17-,19+,22-,23-,25-/m0/s1	XAYAKDZVINDZGB-BMVMHAJPSA-N	2		Not Available	Small Molecule																																			1	No	5	2	No	2	0	96.72 Å2	54.41 Å3	137.16 m3·mol-1	2	Yes	No	0.00256 mg/mL	4.73	-5.3	14.07	2.73			
C28H44O3	Not Available	Not Available	428.657	CC(C)[C@](C)(O)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	Solid	Not Available								7826201												1536458			ZINC000004791507		1alpha,24S-Dihydroxyvitamin D2	Investigational	DB06117	InChI=1S/C28H44O3/c1-18(2)28(6,31)15-13-19(3)24-11-12-25-21(8-7-14-27(24,25)5)9-10-22-16-23(29)17-26(30)20(22)4/h9-10,13,15,18-19,23-26,29-31H,4,7-8,11-12,14,16-17H2,1-3,5-6H3/b15-13+,21-9+,22-10-/t19-,23-,24-,25+,26+,27-,28-/m1/s1	ODZFJAXAEXQSKL-WRJREGAQSA-N			Not Available	Small Molecule																																			1	No	3	3	No	3	0	60.69 Å2	52.29 Å3	131.89 m3·mol-1	5	Yes	No	0.00726 mg/mL	4.59	-4.8	14.39	-1.1			
C43H74N2O14	80% of the administered dose excreted in the bile, which makes the fecal-biliary route is the most important route of elimination.Enterohepatic recycling could also occur.Only 4 to 14% of an administered dose is eliminated through renal-urinary excretion route.	Intravenous:Young persons (18 to 32 years of age): Approximately 4.5 to 6.2 hours.Elderly persons (73 to 85 years of age): Approximately 9.8 to 13.5 hours. Oral: 5.5-8 hours, Rectal in children: 8 hours	843.065	[H][C@@]1(CC[C@@H]([C@@H](C)O1)N(C)C)O[C@H]1\C=C\C=C\C[C@@H](C)OC(=O)C[C@@H](O)[C@H](OC)[C@@H](O[C@]2([H])O[C@H](C)[C@@H](O[C@@]3([H])C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@H]1C	Solid	The tissue distribution of spiramycin is extensive. The volume of distribution is in excess of 300 L, and concentrations achieved in bone, muscle, respiratory tract and saliva exceed those found in serum. Spiramycin showed high concentrations in tissues such as: lungs, bronchi, tonsils, and sinuses.						85260	CHEMBL453514	4451378						SPR			6440717	347827756		9991		Spiramycin	ZINC000257373089	Rovamycin	Spiramycin	Approved	DB06145	InChI=1S/C43H74N2O14/c1-24-21-29(19-20-46)39(59-42-37(49)36(45(9)10)38(27(4)56-42)58-35-23-43(6,51)41(50)28(5)55-35)40(52-11)31(47)22-33(48)53-25(2)15-13-12-14-16-32(24)57-34-18-17-30(44(7)8)26(3)54-34/h12-14,16,20,24-32,34-42,47,49-51H,15,17-19,21-23H2,1-11H3/b13-12+,16-14+/t24-,25-,26-,27-,28+,29+,30+,31-,32+,34+,35+,36-,37-,38-,39+,40+,41+,42+,43-/m1/s1	ACTOXUHEUCPTEW-CEUOBAOPSA-N	3	Spiramycin is a macrolide antimicrobial agent used in the treatment of various bacterial infections.	Cardiac toxicity, specifically QT prolongation (irregular heartbeat; recurrent fainting).Cholestatic hepatitis (abdominal pain; nausea; vomiting; yellow eyes or skin).Gastrointestinal toxicity, specifically acute colitis (abdominal pain and tenderness; bloody stools; fever).Intestinal injury (abdominal pain and tenderness).Ulcerated esophagitis (chest pain; heartburn).	Small Molecule																																			0	No	15	4	Yes	4	2	195.38 Å2	93.01 Å3	219.25 m3·mol-1	11	No	No	0.196 mg/mL	2.5	-3.6	12.53	9.33	Q9A1X4	rplC	1. 50S ribosomal protein L3
