BEId	action	group	id	name	pharmAction	proteinId
BE0001051		approved, investigational	DB11967	Binimetinib	unknown	P01584
BE0001051	binder	approved, investigational	DB06168	Canakinumab	yes	P01584
BE0001051	antagonist	approved, investigational	DB05260	Gallium nitrate	yes	P01584
BE0001051	binder	approved, investigational	DB06372	Rilonacept	unknown	P01584
BE0001051		investigational	DB12140	Dilmapimod	unknown	P01584
BE0001051	agonist	approved	DB10772	Foreskin keratinocyte (neonatal)	yes	P01584
BE0001051	inhibitorinducer	approved	DB00843	Donepezil	unknown	P01584
BE0009900	substrate	approved, investigational	DB14533	Zinc chloride	unknown	
BE0009900	substrate	approved, experimental	DB14548	Zinc sulfate, unspecified form	unknown	
BE0009903	substrate	approved, investigational	DB14533	Zinc chloride	unknown	
BE0009903	substrate	approved, experimental	DB14548	Zinc sulfate, unspecified form	unknown	
BE0001047	inhibitor	experimental	DB01055	Mimosine	yes	P13500
BE0001047	inhibitor	approved	DB01406	Danazol	unknown	P13500
BE0001047		approved, investigational, nutraceutical	DB09301	Chondroitin sulfate	unknown	P13500
BE0009900	substrate	approved, investigational	DB14533	Zinc chloride	unknown	Q96H72
BE0009900	substrate	approved, experimental	DB14548	Zinc sulfate, unspecified form	unknown	Q96H72
BE0005076		investigational	DB12695	Phenethyl Isothiocyanate	unknown	
BE0009903	substrate	approved, investigational	DB14533	Zinc chloride	unknown	Q15043
BE0009903	substrate	approved, experimental	DB14548	Zinc sulfate, unspecified form	unknown	Q15043
BE0004145		experimental	DB04716	2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one	unknown	
BE0004145	inhibitor	approved	DB08877	Ruxolitinib	yes	
BE0004145	inhibitor	approved, investigational	DB08895	Tofacitinib	yes	
BE0004145		experimental	DB02375	Myricetin	unknown	
BE0004145	inhibitor	approved, investigational	DB11817	Baricitinib	yes	
BE0004145	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0004145	inhibitor	approved, investigational	DB12500	Fedratinib	no	
BE0004145	inhibitor	approved, investigational	DB15091	Upadacitinib	yes	
BE0004145	inhibitor	approved, investigational	DB15822	Pralsetinib	unknown	
BE0004145	inhibitor	approved, investigational	DB14845	Filgotinib	yes	
BE0004145	inhibitor	approved, investigational	DB14973	Abrocitinib	yes	
BE0004145	inhibitor	experimental, investigational	DB16756	Ivarmacitinib	yes	
BE0005076		investigational	DB12695	Phenethyl Isothiocyanate	unknown	P62736
BE0002408		investigational	DB05243	XL019	unknown	
BE0002408		experimental	DB04716	2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one	unknown	
BE0002408		experimental	DB07161	5-phenyl-1H-indazol-3-amine	unknown	
BE0002408		experimental	DB07162	4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide	unknown	
BE0002408		experimental	DB08067	4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM	unknown	
BE0002408	inhibitor	approved	DB08877	Ruxolitinib	yes	
BE0002408	antagonistinhibitor	approved, investigational	DB08895	Tofacitinib	yes	
BE0002408	inhibitor	approved, investigational	DB11817	Baricitinib	yes	
BE0002408	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0002408	inhibitor	approved, investigational	DB12500	Fedratinib	yes	
BE0002408	inhibitor	approved, investigational	DB11986	Entrectinib	unknown	
BE0002408	inhibitor	approved, investigational	DB15035	Zanubrutinib	unknown	
BE0002408	inhibitor	approved, investigational	DB15822	Pralsetinib	unknown	
BE0002408	inhibitor	approved, investigational	DB14973	Abrocitinib	unknown	
BE0002408	inhibitor	approved, investigational	DB11697	Pacritinib	yes	
BE0004145		experimental	DB04716	2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one	unknown	P23458
BE0004145	inhibitor	approved	DB08877	Ruxolitinib	yes	P23458
BE0004145	inhibitor	approved, investigational	DB08895	Tofacitinib	yes	P23458
BE0004145		experimental	DB02375	Myricetin	unknown	P23458
BE0004145	inhibitor	approved, investigational	DB11817	Baricitinib	yes	P23458
BE0004145	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	P23458
BE0004145	inhibitor	approved, investigational	DB12500	Fedratinib	no	P23458
BE0004145	inhibitor	approved, investigational	DB15091	Upadacitinib	yes	P23458
BE0004145	inhibitor	approved, investigational	DB15822	Pralsetinib	unknown	P23458
BE0004145	inhibitor	approved, investigational	DB14845	Filgotinib	yes	P23458
BE0004145	inhibitor	approved, investigational	DB14973	Abrocitinib	yes	P23458
BE0004145	inhibitor	experimental, investigational	DB16756	Ivarmacitinib	yes	P23458
BE0003493		investigational	DB06321	R-348	unknown	
BE0003493		experimental	DB04716	2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one	unknown	
BE0003493	inhibitor	approved, investigational	DB08895	Tofacitinib	yes	
BE0003493	inhibitor	approved, investigational	DB11817	Baricitinib	yes	
BE0003493	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0003493	inhibitor	approved, investigational	DB15035	Zanubrutinib	unknown	
BE0003493	inhibitor	approved	DB08877	Ruxolitinib	yes	
BE0003493	inhibitor	approved, investigational	DB14973	Abrocitinib	unknown	
BE0002408		investigational	DB05243	XL019	unknown	O60674
BE0002408		experimental	DB04716	2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one	unknown	O60674
BE0002408		experimental	DB07161	5-phenyl-1H-indazol-3-amine	unknown	O60674
BE0002408		experimental	DB07162	4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide	unknown	O60674
BE0002408		experimental	DB08067	4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM	unknown	O60674
BE0002408	inhibitor	approved	DB08877	Ruxolitinib	yes	O60674
BE0002408	antagonistinhibitor	approved, investigational	DB08895	Tofacitinib	yes	O60674
BE0002408	inhibitor	approved, investigational	DB11817	Baricitinib	yes	O60674
BE0002408	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	O60674
BE0002408	inhibitor	approved, investigational	DB12500	Fedratinib	yes	O60674
BE0002408	inhibitor	approved, investigational	DB11986	Entrectinib	unknown	O60674
BE0002408	inhibitor	approved, investigational	DB15035	Zanubrutinib	unknown	O60674
BE0002408	inhibitor	approved, investigational	DB15822	Pralsetinib	unknown	O60674
BE0002408	inhibitor	approved, investigational	DB14973	Abrocitinib	unknown	O60674
BE0002408	inhibitor	approved, investigational	DB11697	Pacritinib	yes	O60674
BE0000147	antagonist	approved, investigational	DB00398	Sorafenib	yes	
BE0000147	inhibitor	approved, investigational	DB01268	Sunitinib	yes	
BE0000147		investigational	DB12874	Quizartinib	unknown	
BE0000147		investigational	DB12742	Amuvatinib	unknown	
BE0000147		investigational	DB05014	XL999	unknown	
BE0000147		investigational	DB05465	Tandutinib	unknown	
BE0000147		investigational	DB06080	Linifanib	unknown	
BE0000147		investigational	DB06469	Lestaurtinib	unknown	
BE0000147	antagonistinhibitor	approved, investigational	DB06595	Midostaurin	yes	
BE0000147	inhibitor	approved, investigational	DB08901	Ponatinib	unknown	
BE0000147	inhibitor	approved	DB09079	Nintedanib	unknown	
BE0000147	inhibitor	approved, investigational	DB12267	Brigatinib	unknown	
BE0000147	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0000147	inhibitor	approved, investigational	DB12141	Gilteritinib	yes	
BE0000147	inhibitor	approved, investigational	DB12978	Pexidartinib	unknown	
BE0000147	inhibitor	approved, investigational	DB12500	Fedratinib	yes	
BE0000147	inhibitor	approved, investigational	DB15822	Pralsetinib	unknown	
BE0000147	inhibitor	approved, investigational	DB11800	Tivozanib	unknown	
BE0000147	inhibitor	approved, investigational	DB11697	Pacritinib	yes	
BE0003493		investigational	DB06321	R-348	unknown	P52333
BE0003493		experimental	DB04716	2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one	unknown	P52333
BE0003493	inhibitor	approved, investigational	DB08895	Tofacitinib	yes	P52333
BE0003493	inhibitor	approved, investigational	DB11817	Baricitinib	yes	P52333
BE0003493	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	P52333
BE0003493	inhibitor	approved, investigational	DB15035	Zanubrutinib	unknown	P52333
BE0003493	inhibitor	approved	DB08877	Ruxolitinib	yes	P52333
BE0003493	inhibitor	approved, investigational	DB14973	Abrocitinib	unknown	P52333
BE0000147	antagonist	approved, investigational	DB00398	Sorafenib	yes	P36888
BE0000147	inhibitor	approved, investigational	DB01268	Sunitinib	yes	P36888
BE0000147		investigational	DB12874	Quizartinib	unknown	P36888
BE0000147		investigational	DB12742	Amuvatinib	unknown	P36888
BE0000147		investigational	DB05014	XL999	unknown	P36888
BE0000147		investigational	DB05465	Tandutinib	unknown	P36888
BE0000147		investigational	DB06080	Linifanib	unknown	P36888
BE0000147		investigational	DB06469	Lestaurtinib	unknown	P36888
BE0000147	antagonistinhibitor	approved, investigational	DB06595	Midostaurin	yes	P36888
BE0000147	inhibitor	approved, investigational	DB08901	Ponatinib	unknown	P36888
BE0000147	inhibitor	approved	DB09079	Nintedanib	unknown	P36888
BE0000147	inhibitor	approved, investigational	DB12267	Brigatinib	unknown	P36888
BE0000147	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	P36888
BE0000147	inhibitor	approved, investigational	DB12141	Gilteritinib	yes	P36888
BE0000147	inhibitor	approved, investigational	DB12978	Pexidartinib	unknown	P36888
BE0000147	inhibitor	approved, investigational	DB12500	Fedratinib	yes	P36888
BE0000147	inhibitor	approved, investigational	DB15822	Pralsetinib	unknown	P36888
BE0000147	inhibitor	approved, investigational	DB11800	Tivozanib	unknown	P36888
BE0000147	inhibitor	approved, investigational	DB11697	Pacritinib	yes	P36888
BE0000264		investigational, nutraceutical	DB00171	ATP	unknown	
BE0000264		experimental	DB08597	Dorsomorphin	unknown	
BE0000264	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0009272	ligand	approved, investigational	DB11639	Dibotermin alfa	yes	
BE0000264		investigational, nutraceutical	DB00171	ATP	unknown	Q04771
BE0000264		experimental	DB08597	Dorsomorphin	unknown	Q04771
BE0000264	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	Q04771
BE0009272	ligand	approved, investigational	DB11639	Dibotermin alfa	yes	P36894
BE0009415	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0009324	ligand	approved, investigational	DB11639	Dibotermin alfa	yes	
BE0009324	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0009415	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	O00238
BE0002442		investigational	DB04933	Eritoran	unknown	
BE0002442		investigational	DB05475	Golotimod	unknown	
BE0002442		investigational	DB06447	E5531	unknown	
BE0002442		approved, experimental	DB03017	Lauric acid	unknown	
BE0002442		experimental	DB02767	(R)-3-hydroxytetradecanoic acid	unknown	
BE0002442		experimental	DB08231	Myristic acid	unknown	
BE0002442	inhibitor	approved, vet_approved	DB01183	Naloxone	unknown	
BE0002442	ligand	approved, experimental	DB13615	Mifamurtide	yes	
BE0002442	activator	approved	DB11193	Papain	unknown	
BE0002442	inhibitor	approved	DB00924	Cyclobenzaprine	unknown	
BE0009324	ligand	approved, investigational	DB11639	Dibotermin alfa	yes	Q13873
BE0009324	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	Q13873
BE0008694	ligand	approved, investigational	DB11093	Calcium citrate	no	
BE0008694	ligand	approved	DB11348	Calcium Phosphate	no	
BE0008694		approved	DB14481	Calcium phosphate dihydrate	no	
BE0002442		investigational	DB04933	Eritoran	unknown	O00206
BE0002442		investigational	DB05475	Golotimod	unknown	O00206
BE0002442		investigational	DB06447	E5531	unknown	O00206
BE0002442		approved, experimental	DB03017	Lauric acid	unknown	O00206
BE0002442		experimental	DB02767	(R)-3-hydroxytetradecanoic acid	unknown	O00206
BE0002442		experimental	DB08231	Myristic acid	unknown	O00206
BE0002442	inhibitor	approved, vet_approved	DB01183	Naloxone	unknown	O00206
BE0002442	ligand	approved, experimental	DB13615	Mifamurtide	yes	O00206
BE0002442	activator	approved	DB11193	Papain	unknown	O00206
BE0002442	inhibitor	approved	DB00924	Cyclobenzaprine	unknown	O00206
BE0002204		approved	DB03147	Flavin adenine dinucleotide	unknown	
BE0002204		experimental	DB03328	Dioxo(sulfanyl)molybdenum	unknown	
BE0002204	inhibitor	approved	DB00437	Allopurinol	yes	
BE0002204		investigational	DB05262	Oxypurinol	unknown	
BE0002204	substrate	approved, nutraceutical	DB00157	NADH	unknown	
BE0002204	inhibitor	experimental, nutraceutical	DB00127	Spermine	unknown	
BE0002204	substrate	approved, nutraceutical	DB00170	Menadione	unknown	
BE0002204	substrate	approved, investigational, vet_approved	DB00336	Nitrofural	unknown	
BE0002204	substrate	approved, investigational	DB00339	Pyrazinamide	unknown	
BE0002204	inhibitor	approved, investigational	DB00746	Deferoxamine	unknown	
BE0002204	modulator	approved, investigational	DB00831	Trifluoperazine	unknown	
BE0002204	inhibitor	approved, investigational	DB01136	Carvedilol	unknown	
BE0002204	substrate	approved, investigational	DB01168	Procarbazine	unknown	
BE0002204	substrate	approved	DB01033	Mercaptopurine	unknown	
BE0002204	substrate	approved	DB00993	Azathioprine	unknown	
BE0002204	inhibitor	approved	DB00437	Allopurinol	unknown	
BE0002204		experimental	DB01685	Topiroxostat	unknown	
BE0002204		experimental	DB03841	Niraxostat	unknown	
BE0002204		approved, investigational	DB00583	Levocarnitine	unknown	
BE0002204	inhibitor	investigational	DB03516	Eniluracil	unknown	
BE0002204	inducer	approved	DB00958	Carboplatin	unknown	
BE0002204	inhibitor	approved, experimental	DB00856	Chlorphenesin	unknown	
