canonicalSmiles	chemicalProperties.Complexity	chemicalProperties.Compound Is Canonicalized	chemicalProperties.Covalently-Bonded Unit Count	chemicalProperties.Defined Atom Stereocenter Count	chemicalProperties.Defined Bond Stereocenter Count	chemicalProperties.Exact Mass	chemicalProperties.Formal Charge	chemicalProperties.Heavy Atom Count	chemicalProperties.Hydrogen Bond Acceptor Count	chemicalProperties.Hydrogen Bond Donor Count	chemicalProperties.Isotope Atom Count	chemicalProperties.Molecular Weight	chemicalProperties.Monoisotopic Mass	chemicalProperties.Rotatable Bond Count	chemicalProperties.Topological Polar Surface Area	chemicalProperties.Undefined Atom Stereocenter Count	chemicalProperties.Undefined Bond Stereocenter Count	chemicalProperties.XLogP3	chemicalProperties.XLogP3-AA	cid	inChIKey	maxPhase	molecularFormula	synonyms
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC	544	Yes	1	0	0	387.19065430	0	28	8	1	0	387.4	387.19065430	4	103 Å²	1	0	1.4		5401	VCKUSRYTPJJLNI-UHFFFAOYSA-N		C19H25N5O4	
CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5	783	Yes	1	0	0	562.32675384	0	41	8	1	0	562.7	562.32675384	10	92.3 Å²	0	0		4.6	3038522	UXXQOJXBIDBUAC-UHFFFAOYSA-N		C31H42N6O4	Tandutinib;!387867-13-2;!MLN-518;!MLN518;!CT53518
																								
CN(C)C(=O)C(C1CCC(CC1)C2=CC=CC3=NC=NN32)C(C(=O)N4CCC(C4)F)N	656	Yes	1	3	0	430.24925241	0	31	6	1	0	430.5	430.24925241	5	96.8 Å²	0	0		1.3	11495704	ZPWDKZWKUOYOHA-AJHRRDMJSA-N		C22H31FN6O2	CHEMBL237566;!CHEMBL400841;!(2s,3s)-3-Amino-4-[(3s)-3-Fluoropyrrolidin-1-Yl]-N,N-Dimethyl-4-Oxo-2-(Trans-4-[1,2,4]triazolo[1,5-A]pyridin-5-Ylcyclohexyl)butanamide;!EXYL)BUTANAMIDE;!SCHEMBL13412170
C1CCC(CC1)NC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)N5CCOCC5	503	Yes	1	0	0	393.22770851	0	29	7	3	0	393.5	393.22770851	5	91 Å²	0	0		3.9	210332	ZFLJHSQHILSNCM-UHFFFAOYSA-N		C21H27N7O	
C1CN(CC2=C1N=CN2)C3=NC=NC4=C3C(=CN4)Cl	342	Yes	1	0	0	274.0733721	0	19	4	2	0	274.71	274.0733721	1	73.5 Å²	0	0		1.5	24798742	YFFJXGRXFASBDL-UHFFFAOYSA-N		C12H11ClN6	5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine;!CHEBI:90625;!3cqw;!pyrrolopyrimidine, 8b;!CHEMBL259833
C1CN(CCC1(CN)C2=CC=C(C=C2)Cl)C3=NC=NC4=C3C=CN4	418	Yes	1	0	0	341.1407234	0	24	4	2	0	341.8	341.1407234	3	70.8 Å²	0	0		3.1	24762195	QOZMRRGNAZNWDN-UHFFFAOYSA-N		C18H20ClN5	CHEMBL406863;!1-[4-(4-Chlorophenyl)-1-(7h-Pyrrolo[2,3-D]pyrimidin-4-Yl)piperidin-4-Yl]methanamine;!885499-58-1;!SCHEMBL1001813;!BDBM50376063
C1CN(CCC1(CC2=CC=C(C=C2)Cl)CN)C3=NC=NC4=C3C=CN4	432	Yes	1	0	0	355.1563734	0	25	4	2	0	355.9	355.1563734	4	70.8 Å²	0	0		3.4	11696113	KCWPSUKJCKZEAO-UHFFFAOYSA-N		C19H22ClN5	CHEMBL260000;!1-[4-(4-Chlorobenzyl)-1-(7h-Pyrrolo[2,3-D]pyrimidin-4-Yl)piperidin-4-Yl]methanamine;!885499-63-8;!SCHEMBL1000903;!BDBM50376067
C1CN(CCC1(CC2=CC=C(C=C2)Cl)[NH3+])C3=NC=NC4=C3C=CN4	418	Yes	1	0	0	342.1485484	1	24	3	2	0	342.8	342.1485484	3	72.4 Å²	0	0		3.1	42627562	RZIDZIGAXXNODG-UHFFFAOYSA-O		C18H21ClN5+	4-(4-Chlorobenzyl)-1-(7h-Pyrrolo[2,3-D]pyrimidin-4-Yl)piperidin-4-Aminium;!2vo7;!DB08150;!Q27097380
CN(C)C(=O)C(C1=CC=C(C=C1)C2=CN3C(=NC=N3)C=C2)C(C(=O)N4CCC(C4)F)N	656	Yes	1	3	0	424.20230222	0	31	6	1	0	424.5	424.20230222	5	96.8 Å²	0	0		1	10320144	ZNHVIJAGMFQGMS-IHPCNDPISA-N		C22H25FN6O2	CHEMBL237337;!6-(4-{(1S,2S)-2-AMINO-1-[(DIMETHYLAMINO)CARBONYL]-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-3-OXOPROPYL}PHENYL)-1H-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-4-IUM;!2fjp;!SCHEMBL14591260;!BDBM50221972
CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	488	Yes	1	2	0	312.16985928	0	23	5	1	0	312.37	312.16985928	3	88.9 Å²	0	0		1.5	9926791	UJLAWZDWDVHWOW-YPMHNXCESA-N		C16H20N6O	
C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N	678	Yes	1	1	0	440.19607403	0	33	6	1	0	440.5	440.19607403	5	99.2 Å²	0	0		3.6	24821094	XYFPWWZEPKGCCK-GOSISDBHSA-N		C25H24N6O2	
																								
CC1CC(C2=C1C(=NC=N2)N3CCN(CC3)C(=O)C(CNC(C)C)C4=CC=C(C=C4)Cl)O	622	Yes	1	3	0	457.2244530	0	32	6	2	0	458.0	457.2244530	6	81.6 Å²	0	0		2.5	24788740	GRZXWCHAXNAUHY-NSISKUIASA-N		C24H32ClN5O2	Ipatasertib;!GDC-0068;!1001264-89-6;!Ipatasertib (GDC-0068);!UNII-524Y3IB4HQ
CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOCC5C	698	Yes	1	2	0	462.23793884	0	34	8	1	0	462.5	462.23793884	4	92.7 Å²	0	0		2.8	25262792	JUSFANSTBFGBAF-IRXDYDNUSA-N		C25H30N6O3	
C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4	580	Yes	1	1	0	428.1727518	0	30	6	4	0	428.9	428.1727518	6	120 Å²	0	0		1.7	25227436	JDUBGYFRJFOXQC-KRWDZBQOSA-N		C21H25ClN6O2	
CCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC	494	Yes	1	0	0	373.21138974	0	27	7	1	0	373.4	373.21138974	5	93.8 Å²	0	0	2.2		2472	RHLJLALHBZGAFM-UHFFFAOYSA-N		C19H27N5O3	Bunazosin;!80755-51-7;!Bunazosin [INN];!UNII-9UUW4V7G2H;!1-[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)-1,4-diazepan-1-yl]butan-1-one
CCNC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)OC	525	Yes	1	0	0	379.20082506	0	28	5	2	0	379.5	379.20082506	5	73.5 Å²	0	0		3	60848	UCPOMLWZWRTIAA-UHFFFAOYSA-N		C21H25N5O2	Atevirdine;!136816-75-6;!UNII-N24015WC6D;!CHEMBL280527;!N24015WC6D
C1CN2CCC1C(C2)NC(=O)C3=CNC4=C(C3=O)SC=C4	499	Yes	1	1	0	303.10414797	0	21	5	2	0	303.4	303.10414797	2	89.7 Å²	0	0		1.7	154104	AFUWQWYPPZFWCO-LBPRGKRZSA-N		C15H17N3O2S	Pumosetrag;!UNII-1G26B32139;!CHEMBL1643880;!153062-94-3;!1G26B32139
CN1C=C(N=C1C2CCN(CC2)C3=NC=NC4=C3C=NN4)C5=CC(=C(C=C5)F)C(F)(F)F	644	Yes	1	0	0	445.16380628	0	32	9	1	0	445.4	445.16380628	3	75.5 Å²	0	0		3.6	25118925	FYXRSVDHGLUMHB-UHFFFAOYSA-N		C21H19F4N7	LY2584702;!1082949-67-4;!LY-2584702;!LY-2584702 free base;!LY 2584702
COC1=C(C=CC(=C1)N2CCN(CC2)C(=O)CN3C4=C(C=CC=N4)C(=C5N=CC=N5)N3)Cl	781	Yes	1	0	0	451.1523507	0	32	8	1	0	451.9	451.1523507	4	85.7 A^2	0	0		2.5	25016615	WSVDLXWYJRCDBZ-UHFFFAOYSA-N		C22H22ClN7O2	
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O	303	Yes	1	2	0	302.15180918	0	22	4	4	0	302.4	302.15180918	5	80.9 Å²	0	0		4.3	71398	HCZKYJDFEPMADG-TXEJJXNPSA-N		C18H22O4	Masoprocol;!meso-NDGA;!meso-Nordihydroguaiaretic acid;!Actinex;!27686-84-6
COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O	263	Yes	1	0	0	254.12665706	0	18	5	3	0	254.28	254.12665706	6	93.8 Å²	1	0		-0.6	4195	PTKSEFOSCHHMPD-UHFFFAOYSA-N		C12H18N2O4	
CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O	286	Yes	1	0	0	268.146329876	0	20	2	2	0	268.3	268.146329876	4	40.5 Å²	0	1	5.1		3054	RGLYKWWBQGJZGM-UHFFFAOYSA-N		C18H20O2	
CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]	372	Yes	1	0	0	273.06372245	0	20	5	2	0	273.24	273.06372245	2	103 Å²	0	0		3.3	4659569	MIQPIUSUKVNLNT-UHFFFAOYSA-N		C14H11NO5	
CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC	262	Yes	1	0	0	228.115029749	0	17	2	0	0	228.29	228.115029749	4	26.3 Å²	0	0	3.1		4409	BLXXJMDCKKHMKV-UHFFFAOYSA-N		C15H16O2	
CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC	440	Yes	1	0	0	388.19982200	0	28	6	1	0	388.5	388.19982200	10	69.3 Å²	0	0	2.3		5577	FEZBIKUBAYAZIU-UHFFFAOYSA-N		C21H28N2O5	trimethobenzamide;!138-56-7;!Tigan;!emedur;!Trimetobenzamida
CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O	318	Yes	1	0	2	266.130679813	0	20	2	2	0	266.3	266.130679813	3	40.5 Å²	0	0		5.4	667476	NFDFQCUYFHCNBW-SCGPFSFSSA-N		C18H18O2	
CC1=CC=C(C=C1)C(=O)OC2=C(C=C(C=C2)C(CNC(C)(C)C)O)OC(=O)C3=CC=C(C=C3)C	658	Yes	1	0	0	461.22022309	0	34	6	2	0	461.5	461.22022309	10	84.9 Å²	1	0		5.2	35330	FZGVEKPRDOIXJY-UHFFFAOYSA-N		C28H31NO5	Bitolterol;!30392-40-6;!Bitolterolum;!CHEBI:3133;!WIN 32784
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl	458	Yes	1	0	0	360.1128368	0	25	4	0	0	360.8	360.1128368	7	52.6 Å²	0	0		5.2	3339	YMTINGFKWWXKFG-UHFFFAOYSA-N		C20H21ClO4	
COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O	413	Yes	1	1	0	302.07903816	0	22	6	3	0	302.28	302.07903816	2	96.2 Å²	0	0		2.4	72281	AIONOLUJZLIMTK-AWEZNQCLSA-N		C16H14O6	
COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC	407	Yes	1	0	0	339.14705815	0	25	5	0	0	339.4	339.14705815	6	49.8 Å²	0	0		3.9	4680	XQYZDYMELSJDRZ-UHFFFAOYSA-N		C20H21NO4	
CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O	310	Yes	1	0	0	303.14705815	0	22	5	5	0	303.35	303.14705815	6	93 Å²	2	0		2	3343	LSLYOANBFKQKPT-UHFFFAOYSA-N		C17H21NO4	
CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O	355	Yes	1	0	0	345.19400834	0	25	5	2	0	345.4	345.19400834	10	60 Å²	1	0	3		2372	HXLAFSUPPDYFEO-UHFFFAOYSA-N		C20H27NO4	Bevantolol;!59170-23-9;!Bevantololum;!Bevantololum [INN-Latin];!1-(3,4-Dimethoxyphenethylamino)-3-(m-tolyloxy)-2-propanol
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	258	Yes	1	0	0	228.078644241	0	17	3	1	0	228.24	228.078644241	3	46.5 Å²	0	0	3.6		4632	DXGLGDHPHMLXJC-UHFFFAOYSA-N		C14H12O3	
COC(=O)C1=C(C=CC=C1OCC=CC2=CC(=C(C=C2)F)C3=CC(=NO3)C(=O)O)O	631	Yes	1	0	1	413.09108001	0	30	9	2	0	413.4	413.09108001	8	119 Å²	0	0		4.1	447994	QKHWJUMLYAYZFS-ONEGZZNKSA-N		C21H16FNO7	COMPOUND 9;!5-{2-FLUORO-5-[3-(3-HYDROXY-2-METHOXYCARBONYL-PHENOXY)-PROPENYL]-PHENYL}-ISOXAZOLE-3-CARBOXYLIC ACID;!CHEMBL117869;!1q1m;!SCHEMBL5620738
COC1=CC(=C(C(=C1)OC)C=C2C3=CC=CC=C3NC2=O)OC	450	Yes	1	0	1	311.11575802	0	23	4	1	0	311.3	311.11575802	4	56.8 Å²	0	0		2.8	5288600	JBJYTZXCZDNOJW-JLHYYAGUSA-N		C18H17NO4	ic261;!IC 261;!186611-52-9;!3-[(2,4,6-TRIMETHOXY-PHENYL)-METHYLENE]-INDOLIN-2-ONE;!SU-5607
C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O	331	Yes	1	0	1	256.07355886	0	19	4	3	0	256.25	256.07355886	3	77.8 Å²	0	0		3.2	638278	DXDRHHKMWQZJHT-FPYGCLRLSA-N		C15H12O4	
COC1=C(C=CC(=C1)C=C)O	134	Yes	1	0	0	150.068079557	0	11	2	1	0	150.17	150.068079557	2	29.5 Å²	0	0	2.4		332	YOMSJEATGXXYPX-UHFFFAOYSA-N		C9H10O2	
CC1=CC(=CC(=C1CC2=CC(=C(C=C2)O)CC3=CC=CC=C3)C)OCC(=O)O	475	Yes	1	0	0	376.16745924	0	28	4	2	0	376.4	376.16745924	7	66.8 Å²	0	0		5.7	448011	JYHIGYLGYNCMGI-UHFFFAOYSA-N		C24H24O4	GC-24;![4-(3-BENZYL-4-HYDROXYBENZYL)-3,5-DIMETHYLPHENOXY]ACETIC ACID;!G24;!1q4x;!SCHEMBL3341367
COC1=C(C=CC(=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)O	469	Yes	1	2	0	358.14163842	0	26	6	2	0	358.4	358.14163842	6	85.2 Å²	0	0		3.3	119205	MATGKVZWFZHCLI-LSDHHAIUSA-N		C20H22O6	Matairesinol;!(-)-Matairesinol;!580-72-3;!Artigenin congener;!(3R,4R)-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one
COC1=CC(=CC(=C1O)O)C=CC(O)O	216	Yes	1	0	1	212.06847348	0	15	5	4	0	212.20	212.06847348	3	90.2 Å²	0	0		0.4	5288545	QQVLKPZAOPJJCB-NSCUHMNNSA-N		C10H12O5	5-(3,3-DIHYDROXYPROPENY)-3-METHOXY-BENZENE-1,2-DIOL;!SCHEMBL5016906;!5-[(1E)-3,3-dihydroxyprop-1-en-1-yl]-3-methoxybenzene-1,2-diol;!DB04449;!Q27095233
C1C(=CC2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O	318	Yes	1	0	0	240.078644241	0	18	3	2	0	240.25	240.078644241	1	49.7 Å²	0	0		2.7	219100	ZZUBHVMHNVYXRR-UHFFFAOYSA-N		C15H12O3	
CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC	411	Yes	1	0	0	358.18925731	0	26	5	1	0	358.4	358.18925731	9	60 Å²	0	0	2.3		3792	QQQIECGTIMUVDS-UHFFFAOYSA-N		C20H26N2O4	
COC1=C(C(=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)OP(=O)(O)O)OP(=O)(O)O	692	Yes	1	0	1	492.05865013	0	32	12	4	0	492.3	492.05865013	10	170 Å²	0	0		0.8	6918546	GSOXMQLWUDQTNT-WAYWQWQTSA-N		C18H22O12P2	Combretastatin A-1 bis(phosphate);!288847-35-8;!UNII-JH6Z94GLUD;!OXI-4503;!CA1P
CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)C=CC(=O)C2=CC=C(C=C2)SC	537	Yes	1	0	1	384.13953042	0	27	5	1	0	384.5	384.13953042	7	88.9 Å²	0	0		5.1	9864881	AFLFKFHDSCQHOL-IZZDOVSWSA-N		C22H24O4S	Elafibranor;!923978-27-2;!GFT505;!GFT-505;!824932-88-9
CC(=CCOC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)OCC=C(C)C)OCC(=O)O)C	706	Yes	1	0	1	450.20423867	0	33	6	1	0	450.5	450.20423867	12	82.1 Å²	0	0		6.2	5282219	GFWRVVCDTLRWPK-KPKJPENVSA-N		C27H30O6	sofalcone;!64506-49-6;!Solon;!Sofalcona;!Sofalconum
COC1=C(C=C(C=C1)CC(C2=CC(=C(C(=C2)OC)OC)OC)O)O	351	Yes	1	1	0	334.14163842	0	24	6	2	0	334.4	334.14163842	7	77.4 Å²	0	0		2.6	100154	LGZKGOGODCLQHG-ZDUSSCGKSA-N		C18H22O6	CA4P;!Combretastatin;!AKOS015967221;!DB05284;!Q27095579
																								
																								
																								
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	341	Yes	1	0	1	305.19909372	0	22	3	2	0	305.4	305.19909372	9	58.6 Å²	0	0		3.6	1548943	YKPUWZUDDOIDPM-SOFGYWHQSA-N		C18H27NO3	
COC1=CC=C(C=C1)C(=O)NNC=C2C=C(C(=C(C2=O)Br)O)Br	590	Yes	1	0	1	443.91433	0	23	5	3	0	444.07	441.91638	4	87.7 A^2	0	0		3.7	16475583	NJXGUGVSNUCYSO-CLFYSBASSA-N		C15H12Br2N2O4	
COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=CC4=CC=CN4)C(=O)N3)O	535	Yes	1	0	1	332.11609238	0	25	3	3	0	332.4	332.11609238	3	74.4 Å²	0	0		3	10125830	AYSXURJZVXBSRV-WJDWOHSUSA-N		C20H16N2O3	(3Z)-6-(4-HYDROXY-3-METHOXYPHENYL)-3-(1H-PYRROL-2-YLMETHYLENE)-1,3-DIHYDRO-2H-INDOL-2-ONE;!2ayp;!indolinone analog 13;!43A;!A-432411
COC1=C(C=C(C=C1)C=CC(=O)O)O	224	Yes	1	0	1	194.05790880	0	14	4	2	0	194.18	194.05790880	3	66.8 Å²	0	0	1.5		736186	QURCVMIEKCOAJU-HWKANZROSA-N		C10H10O4	
CCCCCC1=CC(=C(C=C1)OC2=CC=CC=C2)O	235	Yes	1	0	0	256.146329876	0	19	2	1	0	256.34	256.146329876	6	29.5 Å²	0	0		5.5	5274976	OJLYTHOKCYLPMA-UHFFFAOYSA-N		C17H20O2	5-PENTYL-2-PHENOXYPHENOL;!5-Pentyl-2-phenoxy-phenol;!5PP;!5-pentyl-2-phenoxylphenol;!PT03
COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC4=C(C=C3)C(=CC=C4)C(=O)NC5CC5	627	Yes	1	0	0	414.15795719	0	31	5	1	0	414.5	414.15795719	6	69.7 Å²	0	0		4.7	11441375	ZATGFXTWDKIEKC-UHFFFAOYSA-N		C25H22N2O4	861874-34-2;!N-cyclopropyl-6-[(6,7-dimethoxyquinolin-4-yl)oxy]naphthalene-1-carboxamide;!VEGFR-IN-V;!CHEMBL272198;!1-Naphthalenecarboxamide, N-cyclopropyl-6-[(6,7-dimethoxy-4-quinolinyl)oxy]-
CC1=CC(=CC(=C1CC2=CC(=C(C=C2)O)C(C)C)C)OCC(=O)O	396	Yes	1	0	0	328.16745924	0	24	4	2	0	328.4	328.16745924	6	66.8 Å²	0	0		4.9	9862248	QNAZTOHXCZPOSA-UHFFFAOYSA-N		C20H24O4	Sobetirome;!211110-63-3;!GC-1;!QRX-431;!QRX 431
CC1=CC(=C(C=C1)OC)OCC2=CC=CC=N2	222	Yes	1	0	0	229.110278721	0	17	3	0	0	229.27	229.110278721	4	31.4 Å²	0	0		2.7	44129642	AVXQTLSOXWQOHO-UHFFFAOYSA-N		C14H15NO2	2-[(2-methoxy-5-methylphenoxy)methyl]pyridine;!SCHEMBL12409072;!DB07427;!Q27096646
